# d'Arr√™t,Emplacement/Visibilit√©,Type de support,Statut,Visuel affich√©,Photo du visuel r√©el,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
80021,d'Oka/16e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1887,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80023,d'Oka/20e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1888,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80028,Deux-Montagnes/Antonin-Campeau,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1889,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80028,Montagnes/Baudouin,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1890,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80030,Montagnes/Montaigne,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1891,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80031,Montagnes/Baudouin,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1892,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80032,Deux-Montagnes/Ovila-Forget,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1893,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80036,des Promenades/devant le Faubourg de la Gare,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1894,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80042,d'Oka/20e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1895,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80045,d'Oka/26e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1896,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80058,d'Oka/44e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1897,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80059,d'Oka/de l'√ârabli√®re,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1898,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80105,d'Oka/38e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1899,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80107,d'Oka/Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1900,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80108,d'Oka/de l'√âglise,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1901,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80113,d'Oka/14e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1902,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80119,d'Oka/24e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1903,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80127,d'Oka/16e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1904,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80130,8e Avenue/de la Chapelle,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1905,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80133,20e Avenue/de Normandie,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1906,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80134,20e Avenue/Henri-Dunant,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1907,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80135,F√©r√©/devant le civique 92,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1908,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80142,des Promenades/des Pins,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1909,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80145,des Promenades/devant le civique 3003,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1910,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80146,20e Avenue/Montclair,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1911,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80147,20e Avenue/Guy,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1912,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80148,20e Avenue/Deux-Montagnes,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1913,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80152,des Promenades/des M√©l√®zes,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1914,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80155,Deux-Montagnes/face √† la Station Deux-Montagnes,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1915,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80156,d'Oka/8e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1916,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80158,Louise/22e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1917,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80161,Louise/30e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1918,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80167,des Pins/27e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1919,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80170,des Pins/de la Prucheraie,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1920,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80171,des Pins/des Promenades,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1921,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80172,des Pins/de la Prucheraie,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1922,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80173,des Pins/du Nordet,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1923,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80181,Louise/30e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1924,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80184,Louise/22e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1925,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80186,d'Oka/3e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1926,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80187,des Pins/de l'Orchid√©e,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1927,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80191,8e Avenue/Gagnon,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1928,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80194,d'Oka/24e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1929,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80196,d'Oka/5e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1930,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80198,20e Avenue/Piste cyclable,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1931,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80200,20e Avenue/Deux-Montagnes,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1932,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80201,d'Oka/3e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1933,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80204,8e Avenue/Cedar,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1934,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80215,des Promenades/des Pins,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1935,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80233,Station/Montagnes (1),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1936,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80233,Station/Montagnes (2),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1937,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80233,Station/Montagnes (3),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1938,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80240,des Pins/29e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1939,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80255,20e Avenue/d'Oka,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1940,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80877,de Rosem√®re/de Normandie,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1941,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80937,Julie/devant le civique #4180,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1942,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80939,devant le Centre Honorius/devant le Centre Honorius-Lafond,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1943,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80940,Robinson/devant le civique 239,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1944,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80941,All√©e du Golf/Robinson,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1945,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80946,Lacas/Highland,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1946,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80947,Pacific/Corona,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1947,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80954,All√©e du Golf/devant le civique 241,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1948,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80955,All√©e du Golf/Devant le civique 246,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1949,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
80957,Poirier/face au civique 209,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1950,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (1),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1951,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (2),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1952,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (3),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1953,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (4),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1954,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (5),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1955,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81000,Terminus/Eustache (6),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1956,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81001,Arthur-Sauv√©/devant le terminus Saint-Eustache,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1957,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81004,Sauv√©/Champagne,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1958,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81005,F√©r√©/Corbo,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1959,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81006,Saint/Saint-Eustache,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1960,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81007,F√©r√©/Boileau,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1961,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81009,Boileau/Bigras,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1962,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81010,Pie/Pie-XII,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1963,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81011,Montagnes/Blouin,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1964,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81012,Montagnes/Gagnier,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1965,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81013,Station/Montagnes (2),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1966,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81013,Station/Montagnes,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1967,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81014,Montagnes/20e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1968,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81015,20e Avenue/devant le civique 611,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1969,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81016,des Promenades/Industriel,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1970,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81017,Industriel/devant le Nova Bus,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1971,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81018,Industriel/devant le civique #690,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1972,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81019,Industriel/Poirier,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1973,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81020,Industriel/de la Rivi√®re Sud,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1974,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81023,Pie-XII/Saint-Eustache,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1975,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81024,XII/Marcel,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1976,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81025,XII/Marcel,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1977,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81026,Marcel/Lucien,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1978,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81027,De l'Acceuil/Beaus√©jour,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1979,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81028,de l'Acceuil/face au civique 390,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1980,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81029,Beaus√©jour/Perry,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1981,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81030,Pie/Pie-XII,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1982,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81031,Sortie A-13/de la Grande-C√¥te,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1983,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81033,Sauv√©/devant le civique 461,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1984,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81034,Sauv√©/Grignon,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1985,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81036,Eustache/du Parc,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1986,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81037,Saint/Saint-Laurent,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1987,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81038,H√©mond/Nadon,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1988,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81040,Lanthier/Moreau,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1989,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81041,Lanthier/Savard,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1990,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81042,Laurent/Champagne,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1991,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81043,Laurent/H√©mond,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1992,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81044,Saint/Saint-Laurent,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1993,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81045,H√©mond/Lessard (2),H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1994,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81045,H√©mond/Lessard,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1995,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81046,Laurent/12e Avenue,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1996,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
81047,Laurent/Houde,H-C,Actif,Refonte Laurentides - 10 novembre,,10-29-2025 11:44 AM,10-29-2025 11:44 AM,1997,Simon BÈgin <67952005.bxtw>,Simon BÈgin <67952005.bxtw>
